Team,Player,Mat,Balls,Runs,WKTS,BBM,Ave,Econ,SR,4W,5W
CSK,MS Dhoni,177,0,0,0,0/0,-,-,-,0,0
CSK,KM Asif,2,36,75,3,2/43,25.00,12.50,12.00,0,0
CSK,Sam Billings,21,0,0,0,0/0,-,-,-,0,0
CSK,Chaitanya Bishnoi,-,-,-,-,-,-,-,-,-,-
CSK,Dwayne Bravo,124,2346,3284,140,4/22,23.45,8.39,16.75,2,0
CSK,Deepak Chahar,19,349,430,12,3/15,35.83,7.39,29.08,0,0
CSK,Faf du Plessis,59,6,16,0,0/0,-,16.00,-,0,0
CSK,Ruturaj Gaikwad,-,-,-,-,-,-,-,-,-,-
CSK,Harbhajan Singh,151,3146,3691,137,5/18,26.94,7.03,22.96,1,1
CSK,Imran Tahir,40,876,1209,57,4/28,21.21,8.28,15.36,1,0
CSK,Ravindra Jadeja,156,2219,2847,96,5/16,29.65,7.69,23.11,3,1
CSK,Kedar Jadhav,67,0,0,0,0/0,-,-,-,0,0
CSK,Narayan Jagadeesan,-,-,-,-,-,-,-,-,-,-
CSK,Monu Kumar,-,-,-,-,-,-,-,-,-,-
CSK,Lungi Ngidi,7,156,156,11,4/10,14.18,6.00,14.18,1,0
CSK,Suresh Raina,178,908,1118,25,2/0,44.72,7.38,36.32,0,0
CSK,Ambati Rayudu,132,18,22,0,0/0,-,7.33,-,0,0
CSK,Mitchell Santner,-,-,-,-,-,-,-,-,-,-
CSK,Karn Sharma,61,1091,1412,53,4/16,26.64,7.76,20.58,2,0
CSK,Mohit Sharma,84,1712,2398,90,4/14,26.64,8.40,19.02,1,0
CSK,Dhruv Shorey,1,0,0,0,0/0,-,-,-,0,0
CSK,Shardul Thakur,28,539,803,28,3/19,28.67,8.93,19.25,0,0
CSK,Murali Vijay,101,36,49,0,0/0,-,8.16,-,0,0
CSK,Shane Watson,119,2029,2682,92,4/29,29.15,7.93,22.05,1,0
CSK,David Willey,3,60,95,2,1/24,47.50,9.50,30.00,0,0
DC,Avesh Khan,7,138,227,5,2/29,45.40,9.86,27.60,0,0
DC,Bandaru Ayyappa,-,-,-,-,-,-,-,-,-,-
DC,Ankush Bains,-,-,-,-,-,-,-,-,-,-
DC,Trent Boult,29,675,999,34,3/19,29.38,8.88,19.85,0,0
DC,Shikhar Dhawan,146,48,66,4,1/7,16.50,8.25,12.00,0,0
DC,Colin Ingram,6,0,0,0,0/0,-,-,-,0,0
DC,Shreyas Iyer,49,0,0,0,0/0,-,-,-,0,0
DC,Sandeep Lamichhane,4,96,111,6,3/36,18.50,6.93,16.00,0,0
DC,Manjot Kalra,-,-,-,-,-,-,-,-,-,-
DC,Amit Mishra,138,2909,3596,149,5/17,24.13,7.41,19.52,3,1
DC,Chris Morris,53,1110,1438,57,4/23,25.22,7.77,19.47,2,0
DC,Colin Munro,9,12,15,0,0/0,-,7.50,-,0,0
DC,Rishabh Pant,41,0,0,0,0/0,-,-,-,0,0
DC,Axar Patel,70,1449,1823,62,4/21,29.40,7.54,23.37,1,0
DC,Harshal Patel,42,812,1178,43,3/28,27.39,8.70,18.88,0,0
DC,Keemo Paul,2,36,41,1,1/21,41.00,6.83,36.00,0,0
DC,Kagiso Rabada,9,204,285,11,2/20,25.90,8.38,18.54,0,0
DC,Sherfane Rutherford,-,-,-,-,-,-,-,-,-,-
DC,Jalaj Saxena,-,-,-,-,-,-,-,-,-,-
DC,Ishant Sharma,78,1679,2293,62,5/12,36.98,8.19,27.08,0,1
DC,Prithvi Shaw,12,0,0,0,0/0,-,-,-,0,0
DC,Nathu Singh,2,24,15,1,1/7,15.00,3.75,24.00,0,0
DC,Rahul Tewatia,17,278,344,13,3/18,26.46,7.42,21.38,0,0
DC,Hanuma Vihari,23,36,38,1,1/5,38.00,6.33,36.00,0,0
KXIP,Mayank Agarwal,67,0,0,0,0/0,-,-,-,0,0
KXIP,Arshdeep Singh,-,-,-,-,-,-,-,-,-,-
KXIP,Murugan Ashwin,13,237,319,12,3/36,26.58,8.07,19.75,0,0
KXIP,Ravichandran Ashwin,128,2666,3003,111,4/34,27.05,6.75,24.01,1,0
KXIP,Agnivesh Ayachi,-,-,-,-,-,-,-,-,-,-
KXIP,Sam Curran,1,24,52,2,2/52,26.00,13.00,12.00,0,0
KXIP,Chris Gayle,115,549,724,18,3/21,40.22,7.91,30.50,0,0
KXIP,Harpreet Brar,-,-,-,-,-,-,-,-,-,-
KXIP,Moises Henriques,57,890,1244,38,3/16,32.73,8.38,23.42,0,0
KXIP,Sarfaraz Khan,28,0,0,0,0/0,-,-,-,0,0
KXIP,Mandeep Singh,87,24,41,1,1/23,41.00,10.25,24.00,0,0
KXIP,David Miller,71,0,0,0,0/0,-,-,-,0,0
KXIP,Mohammed Shami,46,780,1197,24,2/34,49.87,9.20,32.50,0,0
KXIP,Mujeeb Ur Rahman,12,272,320,16,3/27,20.00,7.05,17.00,0,0
KXIP,Karun Nair,68,0,0,0,0/0,-,-,-,0,0
KXIP,Darshan Nalkande,-,-,-,-,-,-,-,-,-,-
KXIP,Nicholas Pooran,1,0,0,0,0/0,-,-,-,0,0
KXIP,Lokesh Rahul,56,0,0,0,0/0,-,-,-,0,0
KXIP,Ankit Rajpoot,20,355,496,21,5/14,23.61,8.38,16.90,0,1
KXIP,Simran Singh,-,-,-,-,-,-,-,-,-,-
KXIP,Andrew Tye,22,510,666,38,5/17,17.52,7.83,13.42,3,1
KXIP,Varun Chakravarthy,1,18,35,1,1/35,35.00,11.66,18.00,0,0
KXIP,Hardus Viljoen,2,48,76,3,2/40,25.33,9.50,16.00,0,0
KKR,Dinesh Karthik,171,0,0,0,0/0,-,-,-,0,0
KKR,Carlos Brathwaite,14,236,350,13,3/47,26.92,8.89,18.15,0,0
